학교명,주소,행정구,행정동,주소_전처리,위도,경도
명지전문대학,서울 서대문구 가좌로 134 명지전문대학 ,서대문구,홍은2동,서울 서대문구 가좌로 134,37.5852831941405,126.925647822893
배화여자대학교,서울 종로구 필운대로 1길 34 배화여자대학교,종로구,청운효자동,서울 종로구 필운대로 1,37.575634,126.967935
백석예술대학교,서울 서초구 방배로9길 23 백석예술대학교,서초구,방배3동,서울 서초구 방배로9,37.484915,126.983504
사이버한국외국어대학교,서울 동대문구 이문동 한국외국어대학교,동대문구,이문1동,서울 동대문구 이문동,37.6004055110663,127.066373060068
삼육대학교,서울시 노원구 화랑로 815(공릉2동 26-21),노원구,공릉2동,서울시 노원구 화랑로 815,37.643357369067,127.108850343184
삼육보건대학교,서울 동대문구 휘경2동,동대문구,휘경2동,서울 동대문구 휘경2동,37.5901076994928,127.068614843098
상명대학교,서울 종로구 홍지동 상명대학교,종로구,부암동,서울 종로구 홍지동,37.6007910021228,126.956587544473
서강대학교,서울 마포구 신수동 서강대학교,마포구,대흥동,서울 마포구 신수동,37.5470206619263,126.935226865858
서경대학교,서울 성북구 정릉4동 서경대학교,성북구,정릉3동,서울 성북구 정릉4동,37.6133765955269,127.00699953542
서울과학기술대학교,서울 노원구 공릉로 232 (공릉동 172),노원구,공릉2동,서울 노원구 공릉로 232,37.6330789279387,127.076794742851
서울과학기술대학교,서울시 노원구 공릉로 232 서울과학기술대학교,노원구,공릉2동,서울시 노원구 공릉로 232,37.6330789279387,127.076794742851
서울교육대학교,서울 서초구 서초중앙로 96(서초동 1650),서초구,서초1동,서울 서초구 서초중앙로 96,37.4907404857731,127.015424537648
서울기독대학교,서울 은평구 갈현로 4길 26-2호,은평구,신사1동,서울 은평구 갈현로 4,37.617319,126.91641
서울대학교,서울 관악구 관악로 1 서울대학교,관악구,낙성대동,서울 관악구 관악로 1,37.4662872666604,126.94815644252
서울디지털대학교,서울 마포구 도화동 560번지,마포구,도화동,서울 마포구 도화동,37.541549712387,126.949873511116
서울사이버대학교,서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교,강북구,미아동,서울 강북구 솔매로49,37.627391,127.017393
